business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,inspection_id,inspection_date,inspection_result,inspection_type,violation_id,violation_description,violation_critical
1428,LAKEWOOD COUNTRY CLUB,13901 GLEN MILL RD.,ROCKVILLE,MD,20850,39.083,-77.1944,"(39.083, -77.1944)",1428_2016-04-26,04/26/2016 12:00:00 AM,PASS,routine,,,
19125,JIREH RESTAURANT,706 UNIVERSITY BLVD. E.,SILVER SPRING,MD,20903,38.9991,-76.9946,"(38.9991, -76.9946)",19125_2015-06-02,06/02/2015 12:00:00 AM,PASS,routine,19125_2015-06-02_ColdHoldingTemperature(C),Standard not met: Cold Holding Temperature (C),true
20167,7-ELEVEN #39156,8472 PINEY BRANCH RD,SILVER SPRING,MD,20901,38.9983,-77.0045,"(38.9983, -77.0045)",20167_2016-02-09,02/09/2016 12:00:00 AM,PASS,routine,20167_2016-02-09_HotHoldingTemperature(C),Standard not met: Hot Holding Temperature (C),true
29383,CHIPOTLE MEXICAN GRILL #2781,20940-A NORTH FREDERICK AVE,GERMANTOWN,MD,20876,39.2034,-77.2484,"(39.2034, -77.2484)",29383_2016-06-27,06/27/2016 12:00:00 AM,PASS,initial,,,
1124,GUDE DRIVE EXXON,1215 E. GUDE DR.,ROCKVILLE,MD,20850,39.0976,-77.1372,"(39.0976, -77.1372)",1124_2016-11-22,11/22/2016 12:00:00 AM,PASS,routine,,,
19202,LA CHIQUITA CARRY OUT,940 EAST WEST HWY,TAKOMA PARK,MD,20912,38.9757,-76.9927,"(38.9757, -76.9927)",19202_2016-09-16,09/16/2016 12:00:00 AM,PASS,routine,19202_2016-09-16_RodentandInsects,Standard not met: Rodent and Insects,false
2286,SAMEN ENTERPRISE /SLIGO ADVENTIST SCHOOL,8300 CARROLL AVE.,TAKOMA PARK,MD,20912,38.9928,-76.9939,"(38.9928, -76.9939)",2286_2016-04-26,04/26/2016 12:00:00 AM,PASS,routine,2286_2016-04-26_HotHoldingTemperature(C),Standard not met: Hot Holding Temperature (C),true
17955,SILVER SPOON RESTAURANT,18530 WOODFIELD RD.,GAITHERSBURG,MD,20879,39.1608,-77.1591,"(39.1608, -77.1591)",17955_2015-04-16,04/16/2015 12:00:00 AM,PASS,routine,17955_2015-04-16_ColdHoldingTemperature(C),Standard not met: Cold Holding Temperature (C),true
19012,TOMATILLO MEXICAN GRILL,2232 VEIRS MILL RD,ROCKVILLE,MD,20851,39.0753,-77.1141,"(39.0753, -77.1141)",19012_2016-04-26,04/26/2016 12:00:00 AM,PASS,routine,,,
29152,VOCELLI PIZZA,730 CLOVERLY ST,SILVER SPRING,MD,20905,39.1096,-76.9956,"(39.1096, -76.9956)",29152_2017-01-18,01/18/2017 12:00:00 AM,PASS,routine,29152_2017-01-18_RodentandInsects,Standard not met: Rodent and Insects,false
29272,TOFU VILLAGE,12945 WISTERIA DR,GERMANTOWN,MD,20874,39.1783,-77.2699,"(39.1783, -77.2699)",29272_2016-02-22,02/22/2016 12:00:00 AM,PASS,initial,,,
19016,RAINBOW FELLOWSHIP ADULT DAY CARE,18901 WARING STATION RD,GERMANTOWN,MD,20874,39.1671,-77.2449,"(39.1671, -77.2449)",19016_2015-04-02,04/02/2015 12:00:00 AM,PASS,followup,,,
2425,SUSHI CHALET,323 MUDDY BRANCH RD.,GAITHERSBURG,MD,20878,39.1275,-77.2089,"(39.1275, -77.2089)",2425_2016-09-15,09/15/2016 12:00:00 AM,PASS,routine,2425_2016-09-15_HotHoldingTemperature(C),Standard not met: Hot Holding Temperature (C),true
29220,JASON'S SUB SHOP,916 EAST WEST HWY,TAKOMA PARK,MD,20912,38.9756,-76.9932,"(38.9756, -76.9932)",29220_2016-09-16,09/16/2016 12:00:00 AM,FAIL,routine,29220_2016-09-16_ColdHoldingTemperature(C),Standard not met: Cold Holding Temperature (C),true
19016,RAINBOW FELLOWSHIP ADULT DAY CARE,18901 WARING STATION RD,GERMANTOWN,MD,20874,39.1671,-77.2449,"(39.1671, -77.2449)",19016_2016-08-04,08/04/2016 12:00:00 AM,PASS,complaint,19016_2016-08-04_FoodProtectedfromContamination(C),Standard not met: Food Protected from Contamination (C),true
19408,GHAR-E-KABOB INDIAN CUISINE,944 WAYNE AVE.,SILVER SPRING,MD,20910,38.9943,-77.0256,"(38.9943, -77.0256)",19408_2016-11-21,11/21/2016 12:00:00 AM,PASS,routine,,,
18839,THAI TANIUM RESTAURANT,657 CENTER POINT WAY,GAITHERSBURG,MD,20878,39.1217,-77.2348,"(39.1217, -77.2348)",18839_2016-11-22,11/22/2016 12:00:00 AM,PASS,routine,,,
