HDR,ROLLING SYSTEM DEMAND,
VD,2.02203E+13,27819
VD,2.02203E+13,27792
VD,2.02203E+13,27763
VD,2.02203E+13,27709
VD,2.02203E+13,27698
VD,2.02203E+13,27690
VD,2.02203E+13,27704
VD,2.02203E+13,28170
VD,2.02203E+13,28341
VD,2.02203E+13,28513
VD,2.02203E+13,28518
VD,2.02203E+13,28439
VD,2.02203E+13,28186
VD,2.02203E+13,28118
VD,2.02203E+13,28082
VD,2.02203E+13,27963
VD,2.02203E+13,27809
VD,2.02203E+13,27603
VD,2.02203E+13,27490
VD,2.02203E+13,27433
VD,2.02203E+13,27381
VD,2.02203E+13,27320
VD,2.02203E+13,27330
VD,2.02203E+13,27312
VD,2.02203E+13,27168
VD,2.02203E+13,27341
VD,2.02203E+13,27305
VD,2.02203E+13,27335
VD,2.02203E+13,27300
VD,2.02203E+13,27169
VD,2.02203E+13,27141
VD,2.02203E+13,27074
VD,2.02203E+13,26964
VD,2.02203E+13,26881
VD,2.02203E+13,26821
VD,2.02203E+13,26789
VD,2.02203E+13,26760
VD,2.02203E+13,26656
VD,2.02203E+13,26553
VD,2.02203E+13,26540
VD,2.02203E+13,26463
VD,2.02203E+13,26415
VD,2.02203E+13,26407
VD,2.02203E+13,26384
VD,2.02203E+13,26374
VD,2.02203E+13,26342
VD,2.02203E+13,26302
VD,2.02203E+13,26246
VD,2.02203E+13,26219
VD,2.02203E+13,26102
VD,2.02203E+13,26389
VD,2.02203E+13,26362
VD,2.02203E+13,26336
VD,2.02203E+13,26334
VD,2.02203E+13,26323
VD,2.02203E+13,26385
VD,2.02203E+13,26396
VD,2.02203E+13,26353
VD,2.02203E+13,26283
VD,2.02203E+13,26235
VD,2.02203E+13,26347
VD,2.02203E+13,26920
VD,2.02203E+13,27462
VD,2.02203E+13,27493
VD,2.02203E+13,27567
VD,2.02203E+13,27536
VD,2.02203E+13,27588
VD,2.02203E+13,27741
VD,2.02203E+13,27979
VD,2.02203E+13,28141
VD,2.02203E+13,28218
VD,2.02203E+13,28634
VD,2.02203E+13,28867
VD,2.02203E+13,29444
VD,2.02203E+13,29848
VD,2.02203E+13,30299
VD,2.02203E+13,30741
VD,2.02203E+13,31216
VD,2.02203E+13,31730
VD,2.02203E+13,32304
VD,2.02203E+13,32664
VD,2.02203E+13,32972
VD,2.02203E+13,33366
VD,2.02203E+13,33704
VD,2.02203E+13,34119
VD,2.02203E+13,34523
VD,2.02203E+13,34912
VD,2.02203E+13,35344
VD,2.02203E+13,35705
VD,2.02203E+13,36035
VD,2.02203E+13,36176
VD,2.02203E+13,36065
VD,2.02203E+13,36336
VD,2.02203E+13,36481
VD,2.02203E+13,36536
VD,2.02203E+13,36691
VD,2.02203E+13,36575
VD,2.02203E+13,37132
VD,2.02203E+13,37286
